topic,LABEL_0,LABEL_1,LABEL_2
-1,0.5054161915621437,0.3235461801596351,0.17103762827822122
0,0.676923076923077,0.2846153846153846,0.038461538461538464
1,0.17272727272727273,0.3090909090909091,0.5181818181818182
2,0.04716981132075472,0.5377358490566038,0.41509433962264153
3,0.7926829268292683,0.1951219512195122,0.012195121951219513
4,0.9135802469135802,0.08641975308641975,0.0
5,0.9487179487179487,0.05128205128205128,0.0
6,0.013333333333333334,0.5066666666666667,0.48
7,0.27941176470588236,0.6029411764705882,0.11764705882352941
8,0.6153846153846154,0.36923076923076925,0.015384615384615385
9,0.15,0.35,0.5
10,0.23333333333333334,0.5666666666666667,0.2
11,0.2,0.6333333333333333,0.16666666666666666
12,0.01694915254237288,0.3389830508474576,0.6440677966101694
13,0.6896551724137931,0.27586206896551724,0.034482758620689655
14,0.5689655172413793,0.43103448275862066,0.0
15,0.1896551724137931,0.6206896551724138,0.1896551724137931
16,0.8793103448275862,0.08620689655172414,0.034482758620689655
17,0.0,0.5,0.5
18,1.0,0.0,0.0
19,0.2765957446808511,0.3617021276595745,0.3617021276595745
20,0.6739130434782609,0.2826086956521739,0.043478260869565216
21,0.9130434782608695,0.06521739130434782,0.021739130434782608
22,0.3111111111111111,0.3111111111111111,0.37777777777777777
23,0.47619047619047616,0.35714285714285715,0.16666666666666666
24,0.5714285714285714,0.38095238095238093,0.047619047619047616
25,0.024390243902439025,0.4878048780487805,0.4878048780487805
26,0.8,0.125,0.075
27,1.0,0.0,0.0
28,0.9743589743589743,0.02564102564102564,0.0
29,0.8717948717948718,0.1282051282051282,0.0
30,0.2631578947368421,0.7105263157894737,0.02631578947368421
31,0.7105263157894737,0.2631578947368421,0.02631578947368421
32,0.8918918918918919,0.10810810810810811,0.0
33,0.3783783783783784,0.5945945945945946,0.02702702702702703
34,0.7777777777777778,0.2222222222222222,0.0
35,0.6571428571428571,0.2857142857142857,0.05714285714285714
36,0.6857142857142857,0.2571428571428571,0.05714285714285714
37,0.05714285714285714,0.8,0.14285714285714285
38,0.0,0.22857142857142856,0.7714285714285715
39,0.7647058823529411,0.20588235294117646,0.029411764705882353
40,0.8823529411764706,0.08823529411764706,0.029411764705882353
41,0.8823529411764706,0.11764705882352941,0.0
42,0.8181818181818182,0.15151515151515152,0.030303030303030304
43,0.45454545454545453,0.5151515151515151,0.030303030303030304
44,0.0,1.0,0.0
45,0.9354838709677419,0.06451612903225806,0.0
46,1.0,0.0,0.0
47,0.9655172413793104,0.034482758620689655,0.0
48,0.20689655172413793,0.6206896551724138,0.1724137931034483
49,0.9310344827586207,0.06896551724137931,0.0
50,0.9285714285714286,0.07142857142857142,0.0
51,0.14285714285714285,0.4642857142857143,0.39285714285714285
52,0.8148148148148148,0.18518518518518517,0.0
53,0.037037037037037035,0.4074074074074074,0.5555555555555556
54,0.037037037037037035,0.6666666666666666,0.2962962962962963
55,0.5925925925925926,0.3333333333333333,0.07407407407407407
56,0.0,0.8076923076923077,0.19230769230769232
57,0.0,0.9230769230769231,0.07692307692307693
58,0.44,0.56,0.0
59,0.08333333333333333,0.6666666666666666,0.25
60,0.20833333333333334,0.75,0.041666666666666664
61,0.0,0.25,0.75
62,0.6666666666666666,0.3333333333333333,0.0
63,0.16666666666666666,0.75,0.08333333333333333
64,0.043478260869565216,0.8695652173913043,0.08695652173913043
65,0.0,0.8260869565217391,0.17391304347826086
66,1.0,0.0,0.0
67,0.23809523809523808,0.7619047619047619,0.0
68,0.0,0.3,0.7
69,0.45,0.4,0.15
70,0.7,0.3,0.0
71,0.3684210526315789,0.5263157894736842,0.10526315789473684
72,0.7894736842105263,0.21052631578947367,0.0
73,0.42105263157894735,0.5789473684210527,0.0
74,0.7894736842105263,0.21052631578947367,0.0
75,0.4444444444444444,0.4444444444444444,0.1111111111111111
76,0.8888888888888888,0.1111111111111111,0.0
77,0.0,0.1111111111111111,0.8888888888888888
78,0.16666666666666666,0.4444444444444444,0.3888888888888889
79,0.05555555555555555,0.16666666666666666,0.7777777777777778
80,0.05555555555555555,0.7222222222222222,0.2222222222222222
81,0.6666666666666666,0.3333333333333333,0.0
82,0.058823529411764705,0.11764705882352941,0.8235294117647058
83,0.9411764705882353,0.058823529411764705,0.0
84,1.0,0.0,0.0
85,0.058823529411764705,0.8823529411764706,0.058823529411764705
86,0.7647058823529411,0.23529411764705882,0.0
87,0.058823529411764705,0.11764705882352941,0.8235294117647058
88,0.5625,0.375,0.0625
89,0.5,0.5,0.0
90,0.1875,0.75,0.0625
91,0.25,0.4375,0.3125
92,0.375,0.625,0.0
93,0.9375,0.0,0.0625
94,0.6,0.26666666666666666,0.13333333333333333
95,1.0,0.0,0.0
96,0.4,0.6,0.0
97,1.0,0.0,0.0
98,0.9285714285714286,0.07142857142857142,0.0
99,1.0,0.0,0.0
100,0.7857142857142857,0.21428571428571427,0.0
101,0.14285714285714285,0.35714285714285715,0.5
102,0.8571428571428571,0.14285714285714285,0.0
103,1.0,0.0,0.0
104,0.07142857142857142,0.21428571428571427,0.7142857142857143
105,0.0,0.5384615384615384,0.46153846153846156
106,0.9230769230769231,0.07692307692307693,0.0
107,0.07692307692307693,0.6923076923076923,0.23076923076923078
108,0.9230769230769231,0.07692307692307693,0.0
109,0.8461538461538461,0.15384615384615385,0.0
110,0.9230769230769231,0.07692307692307693,0.0
111,0.6923076923076923,0.3076923076923077,0.0
112,0.75,0.25,0.0
113,0.16666666666666666,0.6666666666666666,0.16666666666666666
114,0.0,0.25,0.75
115,0.25,0.75,0.0
116,0.4166666666666667,0.5833333333333334,0.0
117,0.9090909090909091,0.09090909090909091,0.0
118,0.45454545454545453,0.45454545454545453,0.09090909090909091
119,0.2727272727272727,0.5454545454545454,0.18181818181818182
120,0.8,0.2,0.0
121,0.3,0.6,0.1
122,0.5,0.2,0.3
123,1.0,0.0,0.0
